Delivery_ID,Order_Date,Ship_Date,Ship_Mode,Destination_ID
1395,2016-12-14,2016-12-18,Standard Class,178
1396,2018-09-18,2018-09-22,Standard Class,42
1397,2016-10-30,2016-02-11,Second Class,37
1398,2017-02-12,2017-07-12,Standard Class,23
1399,2016-12-24,2016-12-30,Standard Class,43
1400,2018-11-09,2018-12-09,First Class,14
1401,2017-07-07,2017-11-07,Standard Class,23
1403,2018-02-02,2018-07-02,Standard Class,22
1404,2017-08-09,2017-09-13,Standard Class,12
1405,2016-12-21,2016-12-26,Second Class,1128
1406,2017-10-22,2017-10-22,Same Day,98
1407,2015-12-24,2015-12-26,First Class,186
1408,2018-12-15,2018-12-20,Standard Class,46
1409,2017-11-13,2017-11-17,Standard Class,167
1411,2018-08-07,2018-12-07,Standard Class,46
1412,2018-09-02,2018-02-14,Second Class,22
1413,2017-12-25,2018-01-01,Standard Class,1413
1414,2018-07-31,2018-03-08,First Class,28
1415,2015-01-11,2015-05-11,Standard Class,129
1417,2016-09-06,2016-11-06,Second Class,1417
1418,2017-12-24,2017-12-28,Standard Class,6
1419,2015-02-04,2015-08-04,Standard Class,1235
1420,2015-11-26,2015-01-12,Second Class,56
1423,2015-01-20,2015-01-25,Standard Class,26
1424,2018-06-10,2018-11-10,Standard Class,1424
1427,2017-05-30,2017-06-06,Standard Class,166
1431,2017-08-04,2017-04-15,Standard Class,1431
1433,2015-11-27,2015-01-12,Standard Class,75
1434,2018-05-12,2018-06-12,First Class,46
1436,2016-07-30,2016-07-31,First Class,54
1437,2017-01-04,2017-05-04,Second Class,42
1439,2015-08-23,2015-08-27,Standard Class,37
1440,2017-02-14,2017-02-15,First Class,260
1441,2018-11-23,2018-11-26,Second Class,1441
1442,2018-11-20,2018-11-22,Second Class,28
1443,2016-03-02,2016-05-02,First Class,829
1444,2016-03-11,2016-07-11,Standard Class,5
1445,2017-04-09,2017-08-09,Standard Class,1445
1446,2017-08-03,2017-12-03,Standard Class,76
1447,2017-01-14,2017-01-20,Standard Class,555
1448,2018-08-29,2018-04-09,Standard Class,26
1449,2017-04-11,2017-08-11,Second Class,12
1451,2017-03-09,2017-09-09,Standard Class,309
1452,2017-10-13,2017-10-19,Standard Class,1452
1453,2018-11-16,2018-11-19,First Class,12
1455,2018-01-12,2018-07-12,Standard Class,1455
1456,2017-09-19,2017-09-22,First Class,50
1457,2018-03-16,2018-03-16,Same Day,68
1458,2016-10-20,2016-10-24,Standard Class,22
1460,2015-12-09,2015-09-19,Standard Class,1460
1461,2016-06-18,2016-06-24,Standard Class,136
1462,2016-09-19,2016-09-23,Standard Class,401
1463,2018-11-30,2018-03-12,First Class,54
1464,2015-05-20,2015-05-22,Second Class,1464
1465,2018-10-03,2018-03-14,Standard Class,264
1466,2016-09-17,2016-09-21,Standard Class,40
1467,2018-11-21,2018-11-25,Standard Class,6
1468,2017-10-13,2017-10-20,Standard Class,55
1469,2017-11-24,2017-01-12,Standard Class,98
1470,2018-08-11,2018-11-13,Standard Class,127
1471,2018-03-18,2018-03-23,Standard Class,1471
1474,2017-12-25,2017-12-29,Standard Class,1246
1475,2015-11-18,2015-11-25,Standard Class,98
1476,2018-02-10,2018-06-10,Standard Class,1240
1477,2018-09-10,2018-11-10,First Class,1477
1478,2015-07-20,2015-07-22,First Class,1
1481,2018-05-07,2018-10-07,Standard Class,21
1483,2017-02-02,2017-08-02,Standard Class,40
1484,2018-11-02,2018-02-14,First Class,68
1485,2016-04-10,2016-09-10,Standard Class,202
1486,2016-12-06,2016-06-17,Standard Class,202
1487,2015-07-28,2015-07-28,Same Day,1487
1488,2018-07-09,2018-07-09,Same Day,1488
1489,2018-11-26,2018-11-29,Second Class,60
1490,2017-08-12,2017-10-12,First Class,1490
1491,2017-12-23,2017-12-25,Second Class,448
1493,2017-09-13,2017-09-18,Standard Class,829
1494,2018-05-27,2018-03-06,Standard Class,456
1495,2015-11-08,2015-08-15,Standard Class,98
1496,2017-05-23,2017-05-27,Standard Class,54
1497,2017-03-20,2017-03-25,Second Class,1497
1499,2017-07-28,2017-01-08,Standard Class,458
1501,2018-10-08,2018-08-15,Standard Class,229
1502,2018-12-23,2018-12-27,Standard Class,1081
1503,2018-03-07,2018-10-07,Standard Class,1503
1505,2016-08-10,2016-10-13,Standard Class,123
1507,2017-01-10,2017-02-10,First Class,911
1508,2018-02-04,2018-07-04,Standard Class,5
1510,2017-01-12,2017-05-12,Standard Class,2
1511,2017-12-12,2017-12-18,Standard Class,737
1512,2015-10-10,2015-10-14,Standard Class,199
1513,2016-05-23,2016-05-27,Second Class,16
1514,2017-03-14,2017-03-19,Standard Class,1306
1515,2017-10-22,2017-10-24,First Class,576
1516,2017-12-18,2017-12-24,Standard Class,112
1517,2017-10-11,2017-11-15,Standard Class,401
1518,2017-03-27,2017-03-31,Standard Class,42
1521,2015-12-20,2015-12-27,Standard Class,1521
1522,2015-11-28,2015-01-12,Second Class,249
1523,2017-06-03,2017-12-03,Standard Class,116
1524,2017-02-16,2017-02-23,Standard Class,48
1525,2017-04-17,2017-04-22,Standard Class,725
1526,2018-01-12,2018-04-12,First Class,20
1527,2016-01-31,2016-05-02,Second Class,471
1529,2017-03-04,2017-09-04,Standard Class,730
1530,2016-10-09,2016-09-16,Standard Class,166
1531,2016-11-28,2016-02-12,Standard Class,68
1532,2017-10-28,2017-10-28,Same Day,1002
1533,2017-11-29,2017-04-12,Second Class,309
1534,2017-05-11,2017-07-11,First Class,1235
1536,2016-05-07,2016-10-07,Second Class,79
1537,2016-12-14,2016-12-18,Standard Class,226
1538,2015-12-15,2015-12-19,Second Class,112
1540,2018-10-04,2018-04-14,Second Class,14
1541,2018-09-26,2018-09-26,Same Day,54
1542,2016-05-07,2016-11-07,Standard Class,960
1543,2018-08-04,2018-04-15,Standard Class,308
1544,2018-09-16,2018-09-18,First Class,177
1545,2017-09-09,2017-09-14,Second Class,21
1546,2018-03-27,2018-03-29,Second Class,20
1547,2016-03-24,2016-03-27,Second Class,1547
1549,2016-09-27,2016-09-29,First Class,158
1550,2018-10-30,2018-10-30,Same Day,57
1552,2016-05-26,2016-05-31,Standard Class,1552
1553,2018-01-01,2018-06-01,Standard Class,1553
1555,2018-10-19,2018-10-24,Second Class,28
1556,2018-10-04,2018-04-14,Standard Class,177
1558,2018-06-11,2018-09-11,Second Class,57
1559,2018-05-29,2018-05-06,Standard Class,163
1561,2015-12-13,2015-12-17,Standard Class,116
1562,2016-11-26,2016-11-30,Standard Class,383
1563,2017-04-22,2017-04-26,Standard Class,1563
1564,2015-12-12,2015-12-17,Standard Class,179
1565,2018-02-05,2018-07-05,Standard Class,1180
1566,2017-05-17,2017-05-18,First Class,1566
1567,2016-09-13,2016-09-20,Standard Class,207
1568,2018-01-28,2018-01-31,Second Class,502
1570,2018-08-21,2018-08-27,Standard Class,27
1572,2017-06-26,2017-02-07,Standard Class,6
1573,2015-11-03,2015-03-16,Second Class,68
1575,2018-05-29,2018-04-06,Standard Class,229
1576,2015-06-17,2015-06-21,Standard Class,98
1578,2016-11-13,2016-11-17,Standard Class,85
1579,2017-08-03,2017-03-13,Standard Class,234
1580,2016-09-21,2016-09-21,Same Day,1580
1581,2017-09-24,2017-09-28,Standard Class,1581
1582,2018-01-04,2018-03-04,First Class,1582
1583,2015-11-09,2015-09-16,Standard Class,940
1584,2016-11-14,2016-11-19,Standard Class,834
1585,2015-04-19,2015-04-21,Second Class,23
1587,2018-07-04,2018-12-04,Standard Class,567
1588,2017-01-17,2017-01-21,Standard Class,1048
1589,2018-02-13,2018-02-19,Standard Class,98
1590,2016-11-28,2016-04-12,Standard Class,393
1591,2018-03-31,2018-02-04,Second Class,76
1593,2018-02-19,2018-02-20,First Class,22
1594,2015-02-11,2015-06-11,Standard Class,55
1595,2016-08-15,2016-08-19,Standard Class,293
1596,2018-07-27,2018-07-31,Standard Class,1596
1597,2018-04-14,2018-04-19,Standard Class,1597
1598,2015-09-14,2015-09-18,Second Class,567
1599,2017-03-14,2017-03-19,Standard Class,68
1600,2018-02-12,2018-04-12,Second Class,18
1601,2017-04-11,2017-05-11,First Class,2
1602,2015-04-04,2015-09-04,Standard Class,441
1604,2017-02-27,2017-02-03,Standard Class,56
1605,2018-03-12,2018-06-12,Second Class,1605
1608,2018-07-09,2018-10-09,First Class,1608
1609,2015-06-21,2015-06-23,Second Class,36
1610,2018-05-21,2018-05-26,Standard Class,1610
1611,2017-09-10,2017-11-10,Second Class,177
1612,2017-08-15,2017-08-22,Standard Class,49
1613,2018-02-20,2018-02-23,First Class,1
1614,2017-02-19,2017-02-24,Standard Class,6
1615,2016-08-11,2016-11-14,Standard Class,1615
1617,2016-05-12,2016-09-12,Standard Class,1
1619,2018-11-11,2018-11-14,First Class,258
1621,2018-11-27,2018-11-29,First Class,204
1622,2016-12-15,2016-12-18,First Class,316
1624,2015-04-15,2015-04-15,Same Day,26
1625,2018-11-17,2018-11-21,Standard Class,76
1627,2015-09-11,2015-11-13,Standard Class,6
1628,2016-03-02,2016-04-02,First Class,5
1629,2018-12-29,2019-02-01,Standard Class,1608
1631,2018-06-06,2018-10-06,Standard Class,2
1633,2016-09-22,2016-09-22,Same Day,532
1634,2015-09-29,2015-03-10,Standard Class,22
1635,2018-08-04,2018-12-04,Standard Class,1635
1636,2018-03-07,2018-04-07,First Class,1048
1637,2018-03-26,2018-02-04,Standard Class,790
1638,2018-03-05,2018-08-05,Standard Class,202
1640,2015-07-09,2015-12-09,Second Class,456
1641,2015-10-15,2015-10-20,Standard Class,47
1643,2017-11-03,2017-03-15,Standard Class,42
1644,2016-11-08,2016-08-16,Standard Class,859
1645,2017-06-20,2017-06-25,Standard Class,167
1646,2017-07-01,2017-11-01,Standard Class,105
1648,2016-01-12,2016-02-12,Same Day,18
1649,2018-12-09,2018-09-15,First Class,178
1650,2017-11-13,2017-11-19,Standard Class,1650
1651,2017-05-05,2017-09-05,Standard Class,271
1654,2016-04-12,2016-09-12,Standard Class,142
1656,2015-05-14,2015-05-20,Standard Class,1106
1657,2018-10-12,2018-12-12,First Class,50
1659,2017-03-17,2017-03-17,Same Day,27
1660,2016-06-28,2016-02-07,Standard Class,724
1662,2015-07-25,2015-07-27,Second Class,2
1663,2016-10-11,2016-11-14,Standard Class,1663
1664,2016-12-14,2016-12-18,Standard Class,502
1666,2018-06-15,2018-06-20,Standard Class,748
1667,2018-06-21,2018-06-25,Second Class,186
1668,2018-10-30,2018-03-11,Standard Class,50
1669,2017-11-06,2017-06-17,Standard Class,620
1670,2015-07-04,2015-10-04,First Class,792
1672,2018-04-15,2018-04-18,First Class,1672
1673,2015-08-24,2015-08-26,First Class,507
1675,2016-03-29,2016-03-31,Second Class,1
1676,2017-09-22,2017-09-28,Standard Class,344
1678,2015-10-17,2015-10-19,Second Class,163
1680,2016-06-25,2016-06-28,First Class,40
1681,2018-04-20,2018-04-26,Standard Class,158
1682,2016-12-12,2016-12-16,Standard Class,23
1683,2015-03-18,2015-03-24,Standard Class,1683
1684,2018-03-02,2018-07-02,Second Class,158
1685,2016-04-04,2016-08-04,Standard Class,60
1686,2018-04-21,2018-04-24,First Class,12
1687,2018-03-09,2018-08-09,Standard Class,57
1688,2018-11-19,2018-11-23,Standard Class,48
1692,2016-11-06,2016-06-16,Standard Class,1692
1694,2015-07-26,2015-07-30,Standard Class,329
1695,2017-08-09,2017-09-14,Standard Class,1695
1696,2015-04-11,2015-08-11,Standard Class,112
1697,2018-06-11,2018-09-11,Second Class,79
1698,2015-09-17,2015-09-21,Standard Class,12
1700,2017-05-09,2017-07-09,First Class,18
1701,2018-10-19,2018-10-23,Standard Class,773
1702,2017-03-13,2017-03-15,Second Class,54
1703,2016-06-09,2016-12-09,Standard Class,12
1704,2017-05-12,2017-06-12,First Class,1704
1705,2017-04-09,2017-08-09,Standard Class,76
1708,2018-11-13,2018-11-16,Second Class,75
1710,2017-05-09,2017-07-09,Second Class,50
1711,2018-06-17,2018-06-21,Second Class,508
1713,2017-03-29,2017-02-04,Standard Class,60
1715,2018-04-03,2018-06-03,Second Class,163
1716,2017-07-14,2017-07-19,Standard Class,42
1718,2017-06-05,2017-10-05,Standard Class,1553
1719,2018-07-17,2018-07-23,Standard Class,719
1720,2017-11-13,2017-11-17,Standard Class,12
1722,2017-03-13,2017-03-18,Standard Class,36
1723,2017-12-12,2017-12-16,Standard Class,244
1724,2017-01-09,2017-07-09,Standard Class,76
1726,2015-07-01,2015-12-01,Standard Class,17
1729,2017-02-12,2017-08-12,Standard Class,8
1731,2017-01-08,2017-03-08,Second Class,50
1732,2018-09-22,2018-09-24,Second Class,6
1733,2016-11-28,2016-03-12,Standard Class,1733
1735,2017-12-19,2017-12-21,Second Class,92
1736,2015-12-27,2016-01-01,Second Class,186
1737,2017-08-10,2017-10-14,Standard Class,56
1738,2018-11-23,2018-11-27,Standard Class,158
1741,2018-08-12,2018-10-12,Second Class,6
1742,2017-09-17,2017-09-22,Standard Class,1742
1744,2016-10-15,2016-10-15,Same Day,57
1745,2017-12-18,2017-12-23,Standard Class,166
1746,2018-01-09,2018-05-09,Second Class,60
1748,2018-12-14,2018-12-18,Standard Class,295
1749,2017-09-23,2017-09-26,Second Class,746
1750,2018-05-27,2018-05-29,First Class,1417
1752,2018-12-25,2018-12-28,First Class,47
1753,2018-12-01,2018-01-17,Second Class,248
1754,2016-06-18,2016-06-23,Standard Class,375
1755,2017-04-30,2017-05-05,Standard Class,123
1757,2017-08-23,2017-08-30,Standard Class,1757
1758,2016-04-13,2016-04-19,Standard Class,178
1759,2017-05-17,2017-05-20,First Class,0
1761,2018-03-30,2018-01-04,Second Class,142
1763,2018-08-27,2018-08-31,Standard Class,45
1764,2017-12-15,2017-12-19,Standard Class,441
1765,2018-04-09,2018-08-09,Second Class,178
1767,2016-01-28,2016-01-31,Second Class,555
1768,2016-11-10,2016-10-18,Standard Class,162
1769,2016-09-25,2016-09-30,Standard Class,184
1770,2017-12-13,2017-12-20,Standard Class,1770
1771,2018-06-30,2018-06-30,Same Day,76
1773,2016-11-16,2016-11-20,Standard Class,1773
1774,2018-12-14,2018-12-19,Standard Class,41
1775,2016-04-26,2016-04-30,Standard Class,1775
1776,2016-11-27,2016-02-12,Standard Class,107
1777,2015-12-20,2015-12-21,First Class,1356
1778,2015-10-21,2015-10-22,First Class,1278
1779,2018-08-28,2018-03-09,Standard Class,98
1780,2017-03-01,2017-08-01,Standard Class,1780
1781,2018-11-24,2018-11-24,Same Day,5
1784,2018-06-25,2018-06-29,Second Class,46
1785,2015-06-04,2015-12-04,Standard Class,46
1786,2016-04-13,2016-04-17,Standard Class,17
1787,2018-06-19,2018-06-26,Standard Class,123
1788,2015-11-18,2015-11-20,Second Class,200
1789,2018-07-11,2018-11-13,Standard Class,20
1792,2015-06-04,2015-08-04,First Class,177
1793,2016-03-16,2016-03-18,Second Class,12
1794,2015-06-27,2015-01-07,Standard Class,1794
1795,2018-07-10,2018-11-10,Standard Class,960
1796,2015-09-14,2015-09-14,Same Day,60
1800,2017-11-27,2017-03-12,Standard Class,162
1802,2017-12-19,2017-12-25,Standard Class,382
1803,2015-08-04,2015-12-04,Standard Class,1803
1804,2018-03-11,2018-09-11,Standard Class,122
1807,2017-09-18,2017-09-22,Standard Class,14
1808,2017-03-20,2017-03-24,Standard Class,1808
1809,2017-01-03,2017-05-03,Standard Class,1596
1810,2017-11-03,2017-03-15,Standard Class,676
1811,2016-07-05,2016-12-05,Standard Class,1811
1812,2018-08-14,2018-08-21,Standard Class,166
1814,2017-11-25,2017-11-29,Standard Class,737
1815,2018-03-11,2018-05-11,First Class,112
1816,2017-05-02,2017-10-02,Standard Class,112
1819,2017-12-08,2017-08-17,Second Class,55
1820,2018-04-29,2018-04-05,Second Class,860
1821,2016-12-10,2016-10-17,Second Class,1002
1822,2017-08-27,2017-01-09,Second Class,1580
1824,2015-05-08,2015-12-08,Standard Class,808
1827,2018-03-10,2018-08-10,Standard Class,244
1828,2018-05-23,2018-05-29,Standard Class,178
1829,2016-11-07,2016-12-07,First Class,7
1831,2018-12-05,2018-05-18,Standard Class,2
1832,2018-10-26,2018-01-11,Standard Class,1235
1833,2018-03-03,2018-08-03,Standard Class,49
1835,2018-10-20,2018-10-24,Standard Class,919
1836,2015-08-16,2015-08-20,Standard Class,177
1837,2016-08-24,2016-08-28,Standard Class,60
1839,2015-05-30,2015-05-06,Standard Class,1839
1840,2017-10-16,2017-10-20,Standard Class,76
1841,2018-10-27,2018-10-29,First Class,166
1843,2018-09-10,2018-10-14,Standard Class,309
1844,2017-09-12,2017-12-14,Second Class,1388
1845,2015-12-23,2015-12-27,Standard Class,55
1846,2016-02-18,2016-02-24,Standard Class,469
1847,2017-05-05,2017-07-05,Second Class,54
1848,2018-11-19,2018-11-19,Same Day,76
1849,2018-07-21,2018-07-25,Standard Class,1757
1851,2017-02-08,2017-04-08,Second Class,166
1853,2018-10-15,2018-10-17,First Class,22
1854,2015-04-20,2015-04-22,Second Class,56
1856,2016-02-03,2016-06-03,Standard Class,12
1857,2016-08-24,2016-08-28,Standard Class,620
1858,2018-08-22,2018-08-23,First Class,28
1860,2017-02-09,2017-06-09,Standard Class,960
1861,2017-11-15,2017-11-15,Same Day,1861
1862,2018-04-09,2018-06-09,Second Class,2
1863,2017-06-14,2017-06-14,Same Day,644
1864,2017-09-06,2017-06-16,Standard Class,471
1866,2017-03-18,2017-03-21,Second Class,274
1867,2018-01-23,2018-01-25,First Class,16
1868,2015-08-29,2015-02-09,Second Class,1868
1869,2016-10-25,2016-10-30,Standard Class,28
1871,2015-01-03,2015-07-03,Standard Class,18
1873,2016-10-01,2016-01-15,Standard Class,76
1875,2018-11-30,2018-07-12,Standard Class,1861
1876,2015-03-29,2015-02-04,Standard Class,41
1879,2017-08-08,2017-08-15,Standard Class,178
1880,2018-02-17,2018-02-22,Standard Class,0
1882,2018-03-06,2018-09-06,Standard Class,76
1883,2018-12-10,2018-12-10,Same Day,1883
1884,2018-08-01,2018-11-01,First Class,46
1885,2015-03-17,2015-03-21,Standard Class,55
1886,2017-11-11,2017-11-17,Standard Class,1886
1887,2018-10-16,2018-10-21,Standard Class,725
1889,2018-03-07,2018-06-07,Second Class,746
1891,2015-04-11,2015-11-11,Standard Class,22
1892,2015-07-06,2015-11-06,Second Class,309
1893,2016-07-25,2016-07-29,Standard Class,635
1895,2015-12-05,2015-05-17,Standard Class,108
1896,2018-10-03,2018-03-14,Standard Class,57
1897,2016-07-26,2016-07-28,First Class,45
1898,2017-09-25,2017-09-30,Standard Class,199
1899,2018-10-21,2018-10-21,Same Day,1899
1900,2015-12-11,2015-11-16,Standard Class,22
1901,2018-08-22,2018-08-24,First Class,177
1903,2018-12-06,2018-06-19,Standard Class,42
1904,2017-08-21,2017-08-23,Second Class,177
1905,2017-12-18,2017-12-21,First Class,1905
1906,2016-01-11,2016-08-11,Standard Class,1906
1907,2016-04-13,2016-04-17,Second Class,22
1908,2017-09-12,2017-11-12,First Class,448
1910,2018-11-19,2018-11-23,Standard Class,116
1912,2017-04-11,2017-06-11,Second Class,960
1913,2017-12-08,2017-08-16,Standard Class,594
1914,2018-03-27,2018-03-29,Second Class,576
1916,2015-05-27,2015-05-27,Same Day,1
1918,2016-09-14,2016-09-18,Standard Class,22
1919,2018-10-22,2018-10-27,Standard Class,1200
1920,2016-10-24,2016-10-30,Standard Class,40
1922,2018-01-09,2018-01-09,Same Day,12
1923,2017-04-19,2017-04-25,Standard Class,68
1924,2018-11-19,2018-11-21,First Class,329
1925,2017-04-10,2017-09-10,Standard Class,127
1926,2018-12-25,2018-12-30,Standard Class,1278
1927,2016-06-22,2016-06-25,First Class,309
1928,2017-05-30,2017-03-06,Standard Class,448
1929,2015-12-14,2015-12-21,Standard Class,798
1930,2016-09-04,2016-04-14,Standard Class,469
1932,2017-07-31,2017-05-08,Standard Class,2
1933,2016-09-11,2016-11-13,Standard Class,43
1934,2015-07-13,2015-07-17,Standard Class,26
1936,2018-11-09,2018-09-16,Standard Class,56
1938,2016-02-11,2016-06-11,Standard Class,49
1939,2015-10-13,2015-10-15,First Class,1608
1940,2016-07-31,2016-07-31,Same Day,55
1941,2017-01-15,2017-01-15,Same Day,233
1942,2018-12-22,2018-12-28,Standard Class,383
1944,2018-03-12,2018-07-12,Second Class,46
1946,2017-11-26,2017-11-30,Second Class,76
1948,2016-11-21,2016-11-25,Standard Class,20
1949,2018-02-01,2018-04-01,Second Class,284
1950,2015-03-03,2015-07-03,Standard Class,112
1951,2016-09-14,2016-09-19,Standard Class,134
1952,2018-10-19,2018-10-23,Standard Class,116
1954,2015-10-20,2015-10-23,First Class,258
1955,2017-08-09,2017-08-09,Same Day,801
1956,2018-12-22,2018-12-25,Second Class,45
1957,2018-11-23,2018-11-26,First Class,21
1959,2015-06-06,2015-11-06,Standard Class,129
1960,2017-01-10,2017-05-10,Standard Class,55
1961,2015-06-12,2015-11-12,Second Class,66
1963,2017-10-21,2017-10-26,Standard Class,1477
1964,2017-05-09,2017-10-09,Standard Class,601
1966,2017-05-05,2017-06-05,First Class,1672
1967,2017-12-11,2017-11-15,First Class,295
1968,2017-06-14,2017-06-21,Standard Class,50
1969,2015-01-27,2015-02-02,Standard Class,112
1971,2016-02-08,2016-06-08,Standard Class,66
1972,2018-01-30,2018-06-02,Standard Class,309
1976,2018-04-05,2018-09-05,Standard Class,54
1979,2017-12-15,2017-12-21,Standard Class,66
1980,2016-12-19,2016-12-24,Second Class,855
1981,2018-12-14,2018-12-18,Standard Class,773
1982,2017-11-06,2017-06-16,Standard Class,26
1983,2018-09-15,2018-09-17,Second Class,54
1984,2017-09-15,2017-09-20,Standard Class,1984
1985,2018-10-13,2018-10-14,First Class,3
1990,2017-08-21,2017-08-28,Standard Class,49
1991,2016-07-09,2016-12-09,Standard Class,76
1992,2016-01-08,2016-07-08,Standard Class,49
1993,2015-11-02,2015-02-15,Standard Class,601
1994,2015-08-07,2015-12-07,Standard Class,2
1995,2017-06-17,2017-06-23,Standard Class,1002
1996,2016-09-08,2016-08-16,Standard Class,187
1997,2016-12-21,2016-12-24,Second Class,12
1998,2017-05-22,2017-05-27,Standard Class,1998
1999,2017-05-05,2017-08-05,First Class,72
2000,2018-09-12,2018-12-13,Second Class,49
2001,2018-10-22,2018-10-22,Same Day,2001
2002,2015-08-04,2015-12-04,Standard Class,179
2005,2016-07-09,2016-07-09,Same Day,76
2006,2016-04-13,2016-04-19,Standard Class,1183
2007,2018-01-11,2018-03-11,Second Class,2007
2008,2017-08-12,2017-12-14,Standard Class,28
2009,2015-10-31,2015-02-11,Second Class,1553
2010,2015-03-28,2015-02-04,Standard Class,1335
2011,2017-12-04,2017-04-16,Standard Class,448
2012,2015-03-06,2015-07-06,Second Class,46
2013,2017-10-09,2017-09-14,Second Class,163
2015,2016-12-26,2016-12-30,Standard Class,205
2016,2018-11-03,2018-03-16,Standard Class,50
2018,2015-06-25,2015-06-28,First Class,26
2019,2015-09-29,2015-03-10,Standard Class,202
2020,2017-08-26,2017-02-09,Standard Class,16
2022,2015-07-19,2015-07-24,Standard Class,2022
2023,2016-02-27,2016-02-03,Standard Class,8
2025,2017-08-16,2017-08-19,First Class,22
2028,2016-09-17,2016-09-21,Standard Class,6
2029,2015-07-09,2015-10-09,First Class,18
2030,2016-12-27,2016-12-31,Standard Class,798
2031,2018-09-05,2018-11-05,First Class,98
2035,2017-10-06,2017-06-15,Standard Class,22
2036,2018-10-12,2018-12-14,Second Class,595
2037,2017-12-17,2017-12-21,Standard Class,2
2038,2017-01-30,2017-03-02,Standard Class,461
2039,2015-03-08,2015-05-08,First Class,37
2040,2018-08-09,2018-09-13,Second Class,158
2044,2015-08-04,2015-12-04,Standard Class,1301
2045,2015-09-20,2015-09-25,Standard Class,1020
2046,2015-09-06,2015-11-06,Second Class,1356
2048,2017-01-05,2017-04-05,First Class,274
2049,2018-02-04,2018-04-04,First Class,42
2050,2015-12-07,2015-07-17,Standard Class,2
2052,2018-04-11,2018-05-11,First Class,464
2054,2015-12-30,2016-03-01,Second Class,177
2055,2018-07-15,2018-07-17,First Class,1117
2057,2016-11-22,2016-11-27,Standard Class,329
2058,2018-07-15,2018-07-19,Standard Class,7
2059,2018-02-09,2018-06-09,Standard Class,26
2060,2015-10-21,2015-10-26,Standard Class,2060
2061,2018-10-24,2018-10-26,First Class,2061
2062,2015-09-19,2015-09-24,Standard Class,378
2063,2016-08-28,2016-01-09,Standard Class,123
2065,2017-03-13,2017-03-18,Standard Class,329
2068,2017-06-14,2017-06-18,Standard Class,12
2069,2018-11-21,2018-11-25,Standard Class,476
2070,2017-03-21,2017-03-25,Standard Class,18
2072,2018-07-25,2018-07-27,First Class,57
2073,2018-08-27,2018-01-09,Standard Class,108
2074,2017-07-25,2017-07-29,Standard Class,226
2075,2017-03-03,2017-08-03,Standard Class,329
2077,2018-12-22,2018-12-26,Standard Class,570
2078,2018-10-12,2018-10-12,Same Day,233
2079,2018-04-23,2018-04-29,Standard Class,55
2080,2017-07-25,2017-07-29,Standard Class,1301
2081,2016-10-30,2016-02-11,First Class,1235
2082,2016-10-18,2016-10-22,Standard Class,243
2084,2018-04-16,2018-04-20,Standard Class,54
2086,2018-11-09,2018-09-15,Standard Class,576
2087,2018-12-15,2018-12-19,Standard Class,814
2088,2018-09-07,2018-12-07,First Class,158
2094,2018-01-15,2018-01-18,First Class,202
2096,2018-09-12,2018-12-12,Second Class,230
2098,2017-03-12,2017-08-12,Standard Class,202
2099,2016-09-04,2016-04-14,Standard Class,1199
2101,2016-12-27,2016-12-31,Standard Class,5
2105,2017-10-12,2017-12-17,Standard Class,98
2106,2017-12-26,2018-02-01,Standard Class,37
2108,2018-04-28,2018-02-05,Standard Class,2108
2109,2016-10-19,2016-10-24,Standard Class,5
2110,2018-05-02,2018-09-02,Standard Class,1770
2111,2016-11-23,2016-11-27,Second Class,1597
2112,2017-03-13,2017-03-16,First Class,65
2113,2017-06-09,2017-11-09,Standard Class,2113
2114,2018-01-12,2018-05-12,Standard Class,37
2116,2018-12-09,2018-09-15,First Class,127
2117,2015-09-21,2015-09-22,First Class,829
2118,2016-05-21,2016-05-27,Standard Class,2118
2119,2018-05-13,2018-05-18,Standard Class,1388
2120,2018-03-18,2018-03-20,Second Class,166
2121,2018-05-20,2018-05-26,Standard Class,94
2122,2018-10-03,2018-03-15,Standard Class,859
2123,2018-09-23,2018-09-28,Standard Class,0
2124,2017-09-05,2017-05-13,Standard Class,515
2125,2018-06-29,2018-04-07,Standard Class,471
2127,2016-05-11,2016-09-11,Standard Class,51
2129,2017-08-18,2017-08-23,Second Class,55
2130,2017-09-26,2017-09-30,Standard Class,1547
2131,2015-07-14,2015-07-20,Standard Class,154
2132,2018-02-20,2018-02-25,Standard Class,1899
2134,2017-11-19,2017-11-25,Standard Class,129
2135,2017-06-25,2017-06-29,Standard Class,26
2137,2015-01-18,2015-01-21,Second Class,66
2138,2015-04-07,2015-07-07,First Class,85
2139,2015-11-26,2015-01-12,Standard Class,159
2140,2018-08-05,2018-12-05,Second Class,28
2141,2016-04-28,2016-05-05,Standard Class,163
2142,2016-05-10,2016-09-10,Standard Class,448
2143,2016-09-28,2016-01-10,First Class,28
2144,2015-09-30,2015-04-10,Standard Class,69
2145,2016-08-23,2016-08-23,Same Day,2145
2146,2017-10-15,2017-10-20,Standard Class,448
2147,2018-07-11,2018-11-11,Standard Class,154
2150,2018-03-10,2018-09-10,Standard Class,47
2151,2018-08-27,2018-08-30,Second Class,215
2152,2016-02-23,2016-02-28,Standard Class,55
2153,2016-12-19,2016-12-20,First Class,177
2154,2018-10-13,2018-10-15,First Class,60
2155,2016-08-23,2016-08-28,Standard Class,207
2159,2018-01-19,2018-01-23,Standard Class,225
2160,2015-09-14,2015-09-19,Standard Class,116
